firm_name,business_type,address,reply
Henderson & Company,Carpet Manufacturers,"Black Lane, Durham","Our works are situated on the river Wear. Employ 500 hands. Rateable value of works, 729l. The bed of the river has silted up very much in the districts above Bishop Auckland and Walsingham owing to refuse poured in from works and lead mines. Thirty years ago the river opposite our works was pure; now it is very filthy, especially in droughty weather. It is polluted by lead mines, town sewage, refuse from collieries, paper mills, and other works to a serious extent. Obtain supply of water jointly from river, and from waterworks; and consume yearly about 4,000,000 gallons. If the river from which we might derive our supply of water, were rendered clear and colourless, it would be of considerable value to us; without stating precisely we should say at least from 300l. to 400l. yearly. We manufacture yearly 500 tons of goods, of the value of 10,000l. Produce yearly 2,745,000 gallons from dyeing, and 255,000 gallons as soapuds. This refuse flows into depositing tanks, rendered clear by us to the value of 200l., and from thence into the river. We use yearly 210,000 lbs. of dye wares, chiefly vegetable and a little mineral, also cochineal. The spent dye stuffs are carted away to a rubbish heap. Use yearly as bleaching materials 30 cwt. of sulphur in a solid state. This is evaporated. Use yearly 4,500 gallons of olive and whale oil, of the value of 950l. to 1,000l. Produce yearly 16 tons of waste wool in carding, which is sold to farmers for manure. Use yearly, soap 22 tons; alkali 25 tons; also urine from our workpeople, and a further unknown quantity from the town. The soapuds are not treated for the recovery of grease. Use steam and water as power: steam 70, water 40, nominal horse-power. Consume yearly 3,500 tons of coal. Make 675 tons of ashes, which are carted away for the repair of neighboring roads and to ash heaps. The excrements of our workplace are discharged into the river through sewers. We suggest, as the best means of avoiding pollution in future, that all manufacturers and owners of mines (perhaps except lead mines which require further consideration) be compelled to filter all impure water issuing from their premises, and that the sewage be not allowed to enter the stream. For the proper conservancy of rivers and streams, we suggest that a public prosecutor be appointed."
Thomas Summers,Tanner,"Giles Gate, Durham","My tanyard is situated on the river Wear. Employ 10 hands. Rateable value of tanyard 45l. The bed of the river has partly silted up, caused by solid refuse of all kinds tipped in from the banks. The condition of the stream has not changed within my knowledge. It is polluted by works above, and by mines. Obtain supply of water from a spring, and from waterworks. Consume yearly about 330,000 gallons. If the river were rendered clear and colourless, I could use the water therein for that, and the direct money value to me would be worth £26. a year. I tan yearly 100 tons of hides; and make 50 tons of leather. Use yearly, lime 15 tons, bark 250 bushels, oil and tallow 5 tons. Obtain yearly 5 tons of hair in the process of depilation, which are sold to plasterers. Obtain yearly 1 ton of fleshings, which is sold to glue makers. I have 110 tan pits, varying from 4 feet to 7 feet in length and width, and 4 feet in depth. Do not use any dye wares. The whole of the liquid refuse produced at my tanyard flows into sewers, and thence into the river. Use steam, 8 nominal horse-power. Consume yearly 50 tons of coal, the ashes from which are used for repairing roads. The excrements of my workpeople are mixed with horse dung and used for manure. I suggest for the conservancy of rivers and streams that proper inspectors should be appointed."
"M. Hatton & Company, Late H. W. Richardson & Company",Paper Manufacturers,"Deptford, Bishop Wearmouth","Our mills are situated on the river Wear. Employ 46 hands. Rateable value of mills, 17l. There has been no change in the bed of the river within our knowledge. Our mills are not affected by floods. The river is polluted by works and sewage at Durham; and by towns, works, and mines, above the city. Obtain supply of water from the river, and use from that source 2,765,000 gallons yearly from wells and boreholes, 54,000,000 gallons yearly; and from the Sunderland Waterworks Company, 5,000,000 gallons yearly. The river is tidal, and therefore cannot be rendered colourless; and if it were, it would be of no more value to us than at present. Use soda, ropes and sacking, 750 tons, soda ash 4 tons, lime 50 tons, and sulphate of alumina 35 tons. The whole of the liquid refuse produced at my mills flows direct into the sewers, and thence into the river. Manufacture yearly 670 tons of best rope brown paper. Produce yearly 10 tons of dust or waste, which is carted away to land for manure. Use steam, 70 nominal horse-power, of which 50 horse-power is condensing. Consume yearly 2,500 tons of coal, and make about 180 tons of ashes, which are turned into the river. The excrements of our workpeople are conveyed by waterclosets into the river. Have no suggestions to offer as to the best means of avoiding pollution in future, as our works are only one and a half miles from the city, and within full flow of the tide. Therefore we are not affected by the pollution flowing down the river."
R. H. Pomfret,Dyer,"Villiers Street, Bishop Wearmouth","My works are situated on the river Wear. Employ 38 hands. Rateable value of works, 65l. My works are not affected by floods. Obtain supply of water from the Sunderland and South Shields Waterworks Company; and consume yearly 1,000,000 gallons. I am not able to state the value of the goods made at my works yearly. The whole of the liquid refuse produced at my works flows into sewers, and thence into the river. Use yearly 10 tons of dye wares, chiefly logwood, cochineal, and aniline dyes. The spent stuffs are burned. Do not use any bleaching materials. Use yearly, soap 3 tons, and 10 tons, no urine. The soapsuds are not treated for the recovery of grease. Consume yearly 80 tons of coal and 80 tons of coke, the ashes from which are carted away from the premises. The excrements of my workpeople are passed by waterclosets into sewers, and thence into the river. Have no suggestions to offer."
"Ford Works Company, Limited",Paper Manufacturers,Near Sunderland,"Our mills are situated on the river Wear. Employ from 200 to 300 hands. The bed of the stream has silted up to some extent. Our mills are slightly affected by floods. The condition of the river has not changed within our knowledge. The river is polluted by towns, sewage, by coal washing, refuse from works above, and by mines. Obtain supply of water chiefly from wells and boreholes; sometimes from river; and consume yearly about 60,000,000 gallons. If the river were rendered clear and colourless, it would be of no value to us, as we obtain our supply chiefly from wells. Use yearly esparto about 5,000 tons; caustic soda 500 tons; bleaching powder, 600 tons; also small quantities of alum, lime, antochlor, vitriol, sulphate of alumina, pearl ash, salt, manganese, and soap. We manufacture yearly about 1,300 tons of printing paper, 2,600 tons of half stuff and paper stock. We do not produce any waste, as the esparto roots are burned. Use steam, about 400 nominal horse-power. Consume yearly about 10,000 tons of coal, the ashes from which are deposited on ground near. The excrements of our workpeople are mixed with ashes, and used as manure. We have no suggestions to offer as to the best means of avoiding pollution in future, or as to the conservancy of rivers and streams."
John Learmouth,Dyer,"Harmers Hill, Monkwearmouth","My works are situated on the river Wear. Employ eight hands. Rateable value of works, 30l. My works are not affected by floods. The river is polluted by works above, and by mines. Obtain supply water from the Sunderland and South Shields Waterworks Company, and consume yearly 400,000 gallons. Provide yearly 400,000 gallons of liquid refuse, which flows into sewers, and thence into the river. Use six tons of dye woods, principally ground and true, also cochineal, coal tar, 400 lbs. The spent dye stuffs are burned. Use yearly as bleaching materials 10 lbs. of chloride of lime. Use yearly about 1 ton of soap, and 1 ton of soda. Consume yearly 80 tons of coal, the ashes from which are carted to brickfields. The excrements of my workpeople are removed by farmers, and used as manure. Have no suggestions to offer."
Moses Frater,Grease and Oil Manufacturer,"Wilson Street, Monkwearmouth","My works are situated on the river Wear. Employ three hands. Rateable value of works, 20l. The bed of the river has not silted up within my knowledge. My works are not affected by floods. The river is polluted by works above, and by mines. Obtain a supply of water from the Sunderland Waterworks Company, and consume 5,000 gallons annually. Use yearly, lime 40 tons; resin, 100 tons; and produce yearly 80 tons of pine oil. The whole of the liquid refuse produced at my works flows into sewers, and thence into the river. Use yearly 20 tons of coal, the ashes from which are mixed with the excrements of our workpeople, and are carted away. I suggest, as the best means of avoiding pollution in future, that the fluid refuse from manufacturing works should be filtered before being passed into the stream, and the solid refuse should be prevented from being turned into rivers and streams."
Joseph Forster & Sons,Dyers,"Nile Street, Sunderland","Our works are situated near to the river Wear. Employ 11 hands. Rateable value of works, 28l. The works are not affected by floods. Obtain supply of water from the Sunderland and South Shields Waterworks Company. The whole of the waste liquid produced at our work flows into sewers, and thence into the river. Use yearly 20 tons of dye wares chiefly dye woods. The spent dye stuffs are turned into the sewers, and thence into the river. Use yearly, soap 4 tons, alkali 5 tons. The soapsuds are not treated for the recovery of grease. Consume yearly 100 tons of coal, the ashes from which are mixed with the excrements of our workpeople and carted away. Have no suggestions to offer."
Henry Pease & Company,Worsted Spinners and Manufacturers,"Railway Mill, Priestgate Mill, and Low Mill, Darlington","Our mills are situated on the river Skerne, a tributary of the Tees. Employ 550 hands. Rateable value of works, 1,330l. The bed of the river has not silted up. Our works are not affected by floods. There is no noticeable change in the condition of the river opposite Railway Mill, where it enters the town. The river is reasonably clean; it is not so good as Priestgate Mill, and worse at Low Mill, where it leaves the town. The river is polluted by Dye Works above, but not by mines. We obtain a supply of water partly from the Corporation; and consume about 9,000,000 gallons yearly. If the Skerne water were as pure as the water supplied by the Corporation, it would serve the same purpose for the latter, 50l. a year; but no amount of cleansing would effect this, as the water naturally contains much earthy matter. We produce about 400,000 lbs. of worsted yarn and about 110,000 lbs. of woven fabrics yearly, of the value of 85,000l. Produce liquid refuse in washing, about 1,000,000 gallons yearly. We have no bleaching tanks, and this refuse flows direct into the river. We do not use any dye or bleaching materials. Use 3,000 gallons of Gallipoli oil yearly, value of 800l. Produce yearly, 20,800 lbs. of waste wool in carding, which is sold to the Bradford wool merchants. Use yearly about 10 packs of soft soap and 33 tons of soda."
William Yorke,Tanner,"High Street, Angsgate, Ripon","My tanyard is situated on the Shell, a tributary of the Ure. Employ 7 hands. Rateable value of tanyard, £50. The bed of the stream has not silted up. My works are not affected by floods. There has been no change in the condition of the stream since I have known it. The river is slightly polluted by works above, but not by mines. Obtain supply of water from the stream. The water is always clear, except in case of floods, when it is discoloured by peat from the moors. I tan yearly 50 tons of English hides, and produce 25 tons of leather. Use lime, 5 tons; bark, 140 tons; and pigeons' dung, 15 bushels. Obtain 4 tons of hair in the process of depilation, which is sold to bricklayers and manufacturers of rugs; also 6 cwt. of fatten matter in the process of sheathing, which is sold to tallow chandlers. There are 63 tanks in my yard; the sizes varying from 5 feet 6 by 3 feet 6 by 4 feet 6 to 8 feet 6 by 8 feet 7 by 5 feet 3. Do not use any dyeing materials. The whole of the liquid refuse produced flows unfiltered into the river. Use steam, 5 nominal horse-power. Consume, yearly, 100 tons of coal, the ashes from which are mixed with the excrements of the workpeople and used for manure. No suggestions to offer."
