Filename,firm_name,trade,situation,reply
PART II 41.jpeg,W. Grandage & Company,Dyers and Sizers of Cotton Warps,"Thornton Mill, Bradford.","Our works are situated on Thornton Beck, an affluent of the Bradford Beck, a tributary of the Aire. Employ 70 hands. We are not able to give the rateable value of the works, as they have not been used for the purpose to which they are now devoted. The bed of the stream has silted up. Our works are not affected by floods. The stream is tolerably clear near to our works, although it is very foul a little below and nearer to the town. It is polluted by liquid refuse from manufactories, but not by mines. Obtain supply of water from the Bradford Corporation Waterworks, and consume yearly 9,300,000 gallons. We bleach about 150,000l, of goods of the value of 10,000l, and dye yearly 2,000,000 lbs. of goods of the value of 150,000l. We produce 9,300,000 gallons of liquid refuse more or less polluted; this flows into the sewers and thence into the stream. We use yearly from 5,000,000 to 6,000,000 lbs. of dye wares of all kinds. Part of the dye stuffs are burned. Use 30,000 to 30,000 lbs. of bleaching materials, principally chloride of lime and oil of vitriol. Use yearly, soap 12,000 lbs., but neither alkali or urine. The soapsuds are not treated for the recovery of grease. Use steam, 20 nominal horsepower. Consume yearly, 2,000 tons of coal, the ashes from which are used partly to repair roads, and to make mortar for building purposes. The excerements of our workpeople are used as manure on land adjoining our works. Have no suggestions to offer."
PART II 42.jpeg,George Mason,Woollen Spinner & Weaver,"Clayton Heights, Bradford.","My works are situated on the Clayton Beck, an affluent of the Bradford Beck, a tributary of the Aire. Employ 200 hands. Rateable value of works, 231l. My works are not affected by floods. Obtain supply of water from gathering ground, and consume 4,380 tons yearly. Manufacture yearly 200,000 lbs. of goods. The whole of the waste liquid produced at my works flows eventually into the stream. Do not use any dye wares, bleaching materials, soap, alkali, or urine. Use steam, 90 nominal horse-power. Consume yearly about 1,700 tons of coal, the ashes from which are used to repair footpaths, roads, and for building purposes. The excerements of my workpeople are used for manure. Have no suggestions to offer."
PART II 42.jpeg,R. Beanland & Company,Worsted Spinners and Manufacturers,"Spring Grove, Mill, Clayton Bradford, West Bradford.","Our works are situated on Clayton Beck, an affluent of Bradford Beck, a tributary of the Aire. Employ 450 hands. Rateable value of works, 525l. The bed of the stream has not silted up. Our works are not affected by floods. The condition of the stream has not changed within our knowledge. It is polluted very seriously by works above not by mines. Obtain supply of water for condensing purposes from the stream; for washing and other processes of manufacture from wells; and consume yearly for washing 155,000 gallons. If the river were clear and colourless, from which we might derive our supply of water it would be of considerable money value to us, but cannot fix the amount. We manufacture yearly, from 170 to 180 tons of goods, of the value of from 50,000 to 60,000. Produce yearly, 60,000 gallons of liquid refuse, as soapsuds; this flows into depositing tanks; the other waste liquid produced flows directly into the stream. We do not use either dye wares or bleaching materials. Use yearly, 8½ tons of Gallipoli oil, of the value of 500l. Produce yearly, 6 tons of waste wool in the process of carding, which is partly sold to waste dealers, and partly used for manure. Use yearly, soap 13 tons. The soapsuds are treated for the recovery of grease, by which we gain 90l. a year. Use steam, 45 nominal horse-power. Consume yearly 2,300 tons of coal, the ashes from which are used to repair roads and footpaths. The excerements of our workpeople are used for manure. No suggestions to offer."
PART II 42.jpeg,S. Barsdorf, Worsted Manufacturer,"Beck Mill, Clayton, Bradford.","My works are situated on Clayton Beck, an affluent of Bradford Beck, a tributary of the Aire. Employ 200 hands. Rateable value of works, 200l. The bed of the stream has not silted up. My works are not affected by floods. The beck is slightly polluted, but near my works it is in a fair condition, although it is polluted by mines. Obtain supply of water jointly from the beck and from springs; but am not able to give the annual consumption at any works. Manufacture yearly 130 tons of goods, of the value of 35,0001. The whole of the waste liquid produced at my works directs into the stream. Do not use either dye wares or bleaching materials. Use steam, 25 nominal horse-power. Consume yearly, about 1,000 tons of coal, the ashes from which are used to repair roads. The excerements of our workpeople are used for agricultural purposes. No suggestions to offer."
PART II 42.jpeg,George Turner & Company,Worsted Spinners and Manufacturers,"Great Horton, Bradford.","Our works are situated on a small stream, discharging itself into the stream 750 hands. Rateable value of works, 592l. The bed of the stream has not silted up. Our works are not affected by floods. The stream is polluted by works above; not by mines. Obtain supply of water jointly from a spring and from the Corporation Waterworks and consume yearly 1,500,000 gallons for washing of wool, but cannot tell what is used for condensing purposes and supplying the boilers. We manufacture yearly goods of the value of 220,000l. Produce yearly, liquid refuse, as soapsuds, 1,500,000 gallons; this flows into depositing tanks, and thence into the stream. The other liquid refuse produced flows direct into the stream. Do not use dye wares or bleaching materials. Use yearly, 8 tons of olive oil, of the value of 450l. Do not card the wool we use. Use yearly, soap 400 packs. The soaps are treated for the recovery of grease, by which we gain 90/. A year. Use steam, 50 nominal horse-power. Consume annually 2,100 tons of coal, the ashes from which are carted away for various purposes. The excrements of our workpeople are used for manure. Have no suggestions to offer."
PART II 43.jpeg,Edward Cockerham,Worsted Manufacturer,"Legram Shed, Great Horton, Bradford.","My works are situated near to Clayton Beck, an affluent of Bradford Beck, a tributary of the Aire. Employ 250 hands. Rateable value of works, 750l. Obtain supply of water from collecting grounds, and in droughty weather from old coal-pits by pumping, but am not able to give the annual consumption at my works. Manufacture yearly, goods of the value of 70,000l. The whole of the waste liquid produced at my works flows unfiltered into the stream. Do not use dye wares or bleaching materials, oil, soap, or alkali. Use steam, 30 nominal horse-power. As I merely rent power, I am not able to state the quantity of coal consumed, or the ashes made, or the purposes to which they are devoted. The excrements of my workpeople are removed by farmers for agricultural purposes. No suggestions to offer."
PART II 43.jpeg,Philipp Haas & Sons,Damask Manufacturers,"Holme Mills, Little Horton, Bradford.","Our works are situated near to a beck, an affluent of the Bradford Beck, a tributary of the Aire. Employ 12 hands. Obtain supply of water from a well, but as we rent the premises and power, are not able to state the annual consumption of water at our works, the quantity of coal used, or what is done with the ashes. We manufacture yearly 36,000 lbs. of goods, of the value of 7,500l. The waste liquid produced at our works flows direct into the stream. The excrements of our workpeople are carted away for manure. No suggestions to offer."
PART II 43.jpeg,John Leach,Stuff Manufacturer,"Holme Mill, Little Horton, Bradford.","My works are situated on an affluent of the Bradford Beck, a tributary of the Aire. Employ 200 hands. Rateable value of works, 229l. Obtain supply of water from boreholes, and consume daily 160 tons. Manufacture yearly 100 tons of goods, of the value of 36,000l. The whole of the waste liquid produced at my works flows through sewers into the stream. Do not use any dye wares or bleaching materials. Use steam, 20 nominal horse-power. Consume yearly 2,290 tons of coal, the ashes from which are carted away from the premises. The excrements of my workpeople flow through sewers into the river. No suggestions to offer."
PART II 43.jpeg,William Smith,Stuff Manufacturer,"Holme Mill, Little Horton, Bradford.","My works are situated on an affluent of the Bradford Beck, a tributary of the Aire. Employ 60 hands. Rateable value of works, 97l. Obtain supply of water from boreholes, and consume daily 160 tons. Manufacture yearly goods of the value of 8,000l. The whole of the liquid refuse produced at my works flows direct into sewers, and thence into the stream. Do not use any dye wares or bleaching materials, oil, soap, or alkali. Use steam, 8 nominal horse-power. Do not know the quantity of coal consumed yearly, but the ashes from which are carted away. The excrements of my workpeople are conveyed by waterclosets into the sewers, and thence into the stream. No suggestions to offer."
PART II 43.jpeg,Seth S. Blakey,Sizer,"Gorton Street, Bowling, Bradford.","My works are situated on the Bowling Beck, an affluent of the Bradford Beck, a tributary of the Aire. Employ 13 hands. Rateable value of works, 124l. The bed of the stream has not silted up near my works. My works are affected by floods, caused by the Beck being covered over, and the arch over Caledonian Street being too small. The stream is very much polluted by refuse from dye and other works, and by sewage; but not by mines. Obtain supply of water from Messrs. Edward Ripley and Sons' works; and consume yearly, 550,000 gallons. I cannot give the weight or value of the goods operated upon by me, as I only size the warps for other manufacturers. The liquid refuse, pro-duced at my works flows into the Beck. Use yearly 52 tons of rice flour and 3 tons of tallow in the preparation of size. Use steam, 8 nominal horse-power. Consume yearly about 350 tons of coal, the ashes from which are used for repairing roads. The excrements of my workpeople are conveyed to a manure heap, and used for agricultural purposes. No suggestions to offer."
